wavenumber / cm-1,Absorbance
3942.87,0.001098356
3942.75,0.001136625
3942.629,0.001165827
3942.509,0.001182406
3942.388,0.00118822
3942.268,0.001189184
3942.147,0.001190978
3942.027,0.001196659
3941.906,0.00120583
3941.785,0.001215897
3941.665,0.001223141
3941.544,0.001225135
3941.424,0.001220682
3941.303,0.001209717
3941.183,0.001191875
3941.062,0.001166591
3940.942,0.001132938
3940.821,0.001091879
3940.701,0.001046074
3940.58,0.001001504
3940.46,0.0009650732
3940.339,0.0009439868
3940.219,0.000942725
3940.098,0.0009620513
3939.978,0.0009985812
3939.857,0.001047303
3939.736,0.001102542
3939.616,0.001160113
3939.495,0.001218024
3939.375,0.001274314
3939.254,0.001327122
3939.134,0.001371726
3939.013,0.001401642
3938.893,0.001409354
3938.772,0.001388911
3938.652,0.001338954
3938.531,0.001263913
3938.411,0.001174465
3938.29,0.001084571
3938.17,0.001010271
3938.049,0.0009645087
3937.928,0.0009552438
3937.808,0.0009831386
3937.688,0.001042487
3937.567,0.001121311
3937.446,0.001203869
3937.326,0.001274946
3937.205,0.001322004
3937.085,0.001337924
3936.964,0.001322602
3936.844,0.001282921
3936.723,0.001230218
3936.603,0.001176725
3936.482,0.00113141
3936.362,0.001098788
3936.241,0.001076367
3936.121,0.001057268
3936,0.00103259
3935.88,0.0009961568
3935.759,0.0009460124
3935.638,0.0008863448
3935.518,0.0008251583
3935.397,0.0007726437
3935.277,0.000737361
3935.156,0.0007236204
3935.036,0.0007315195
3934.915,0.000757342
3934.795,0.0007962114
3934.674,0.0008425871
3934.554,0.0008934832
3934.433,0.0009471746
3934.313,0.001003862
3934.192,0.001063811
3934.072,0.001126493
3933.951,0.00118935
3933.831,0.001248328
3933.71,0.001298109
3933.589,0.001332307
3933.469,0.001345934
3933.348,0.001336063
3933.228,0.001302628
3933.107,0.00124866
3932.987,0.001180878
3932.866,0.001108355
3932.746,0.001039664
3932.625,0.0009824081
3932.505,0.0009408323
3932.384,0.0009154305
3932.264,0.0009039089
3932.143,0.0009023815
3932.023,0.0009078268
3931.902,0.0009175555
3931.781,0.0009303393
3931.661,0.0009443189
3931.541,0.0009568378
3931.42,0.0009636785
3931.299,0.0009608227
3931.179,0.000944983
3931.058,0.0009165926
3930.938,0.0008795717
3930.817,0.0008419231
3930.697,0.0008123444
3930.576,0.0007977716
3930.456,0.0008006264
3930.335,0.0008182866
3930.215,0.0008440146
3930.094,0.0008699766
3929.974,0.0008906942
3929.853,0.0009051374
3929.732,0.0009162606
3929.612,0.0009300073
3929.491,0.0009519564
3929.371,0.0009842677
3929.25,0.001024154
3929.13,0.00106494
3929.009,0.001097958
3928.889,0.001116195
3928.768,0.001116926
3928.648,0.001102575
3928.527,0.001079721
3928.407,0.0010575
3928.286,0.001043982
3928.166,0.001044214
3928.045,0.001058663
3927.925,0.00108384
3927.804,0.001114035
3927.684,0.001142206
3927.563,0.001162571
3927.442,0.001171974
3927.322,0.00116998
3927.201,0.001158851
3927.081,0.001142073
3926.96,0.001123702
3926.84,0.00110603
3926.719,0.001088956
3926.599,0.001069358
3926.478,0.001042188
3926.358,0.001002334
3926.237,0.000947241
3926.117,0.0008794057
3925.996,0.0008072655
3925.875,0.0007457582
3925.755,0.0007104112
3925.635,0.0007150244
3925.514,0.000765109
3925.394,0.0008556343
3925.273,0.0009700544
3925.152,0.001084538
3925.032,0.001176259
3924.911,0.001228856
3924.791,0.001238027
3924.67,0.00120995
3924.55,0.001159747
3924.429,0.001103173
3924.309,0.001049828
3924.188,0.001001537
3924.068,0.0009515246
3923.947,0.0008902626
3923.827,0.0008101535
3923.706,0.000712137
3923.585,0.0006065775
3923.465,0.0005118248
3923.344,0.0004486346
3923.224,0.0004316528
3923.104,0.0004670102
3922.983,0.0005491793
3922.862,0.000663386
3922.742,0.0007891742
3922.621,0.0009062995
3922.501,0.00099888
3922.38,0.001055906
3922.26,0.001072879
3922.139,0.001050492
3922.019,0.0009944631
3921.898,0.000914202
3921.778,0.0008224029
3921.657,0.0007349713
3921.537,0.0006662067
3921.416,0.0006272162
3921.295,0.0006221062
3921.175,0.0006473581
3921.054,0.0006920585
3920.934,0.0007416426
3920.813,0.0007834316
3920.693,0.0008098215
3920.572,0.0008209091
3920.452,0.0008228677
3920.331,0.0008259218
3920.211,0.0008386365
3920.09,0.0008645982
3919.97,0.0009015182
3919.849,0.0009429242
3919.729,0.0009814781
3919.608,0.001011268
3919.488,0.001030199
3919.367,0.001039897
3919.247,0.001043517
3919.126,0.001044347
3919.005,0.001045676
3918.885,0.001049496
3918.764,0.001058596
3918.644,0.001075536
3918.523,0.001102841
3918.403,0.001140578
3918.282,0.001185396
3918.162,0.001229554
3918.041,0.001262982
3917.921,0.001275643
3917.8,0.001261454
3917.68,0.001220749
3917.559,0.001161508
3917.438,0.001096695
3917.318,0.001038867
3917.198,0.0009957582
3917.077,0.0009669661
3916.957,0.0009455807
3916.836,0.0009207432
3916.715,0.0008835226
3916.595,0.000831831
3916.474,0.0007717807
3916.354,0.0007162856
3916.233,0.0006808083
3916.113,0.0006795804
3915.992,0.0007198368
3915.872,0.0008009915
3915.751,0.0009135379
3915.631,0.001042188
3915.51,0.001169781
3915.39,0.001278634
3915.269,0.001355706
3915.148,0.001393864
3915.028,0.001392534
3914.907,0.0013576
3914.787,0.001299305
3914.667,0.001230218
3914.546,0.001160711
3914.425,0.001097161
3914.305,0.001041059
3914.184,0.000989548
3914.064,0.0009371464
3913.943,0.0008796049
3913.823,0.0008157304
3913.702,0.0007494424
3913.582,0.0006875451
3913.461,0.0006380336
3913.341,0.0006066771
3913.22,0.0005946659
3913.1,0.0005982825
3912.979,0.0006101942
3912.858,0.0006218408
3912.738,0.0006275812
3912.617,0.0006256898
3912.497,0.000619518
