wavenumber / cm-1,Absorbance
3950.102,-0.002185579
3949.981,-0.00214384
3949.861,-0.002111593
3949.74,-0.002092963
3949.62,-0.002085082
3949.499,-0.002081685
3949.379,-0.002075915
3949.258,-0.00206467
3949.138,-0.002049929
3949.017,-0.002036836
3948.897,-0.00203057
3948.776,-0.002032417
3948.656,-0.002039376
3948.535,-0.002045147
3948.415,-0.002042476
3948.294,-0.002027635
3948.174,-0.002001086
3948.053,-0.0019683
3947.932,-0.001936799
3947.812,-0.001913609
3947.691,-0.001904405
3947.571,-0.001912026
3947.45,-0.001937789
3947.33,-0.001981197
3947.209,-0.002039178
3947.089,-0.002106779
3946.968,-0.002174502
3946.848,-0.002229457
3946.727,-0.00225919
3946.607,-0.002253355
3946.486,-0.002208821
3946.365,-0.00213019
3946.245,-0.002030339
3946.125,-0.001925881
3946.004,-0.001832747
3945.884,-0.001763453
3945.763,-0.001725337
3945.642,-0.001719957
3945.522,-0.001745666
3945.401,-0.001798498
3945.281,-0.001872735
3945.16,-0.001959658
3945.04,-0.002049005
3944.919,-0.002129168
3944.799,-0.002189535
3944.678,-0.002224875
3944.558,-0.002236478
3944.437,-0.002232918
3944.317,-0.002225303
3944.196,-0.002224051
3944.075,-0.00223427
3943.955,-0.002253059
3943.834,-0.002272737
3943.714,-0.002284372
3943.593,-0.002283911
3943.473,-0.002273759
3943.352,-0.002262123
3943.232,-0.002259387
3943.111,-0.002272276
3942.991,-0.002300127
3942.87,-0.002334996
3942.75,-0.00236403
3942.629,-0.0023753
3942.509,-0.002362909
3942.388,-0.002327746
3942.268,-0.002277022
3942.147,-0.002219073
3942.027,-0.002161677
3941.906,-0.002109648
3941.785,-0.002065593
3941.665,-0.002031329
3941.544,-0.002009232
3941.424,-0.002000525
3941.303,-0.002004186
3941.183,-0.002014443
3941.062,-0.002020709
3940.942,-0.002011178
3940.821,-0.001976711
3940.701,-0.001917139
3940.58,-0.001842481
3940.46,-0.001770812
3940.339,-0.001724116
3940.219,-0.001719825
3940.098,-0.001764674
3939.978,-0.001853599
3939.857,-0.001970939
3939.736,-0.002097348
3939.616,-0.002214029
3939.495,-0.002307543
3939.375,-0.002371148
3939.254,-0.002402749
3939.134,-0.002402914
3939.013,-0.002373421
3938.893,-0.002317694
3938.772,-0.002241621
3938.652,-0.002154621
3938.531,-0.002069253
3938.411,-0.001998051
3938.29,-0.001949961
3938.17,-0.00192753
3938.049,-0.001926342
3937.928,-0.001937327
3937.808,-0.001949598
3937.688,-0.001955667
3937.567,-0.001952567
3937.446,-0.00194244
3937.326,-0.001929905
3937.205,-0.00191958
3937.085,-0.001914797
3936.964,-0.001916182
3936.844,-0.001923374
3936.723,-0.001935513
3936.603,-0.001951907
3936.482,-0.001972127
3936.362,-0.001994852
3936.241,-0.002018236
3936.121,-0.00203987
3936,-0.002058173
3935.88,-0.00207331
3935.759,-0.002086994
3935.638,-0.002101701
3935.518,-0.002119078
3935.397,-0.002138301
3935.277,-0.00215683
3935.156,-0.002171765
3935.036,-0.002182183
3934.915,-0.002190063
3934.795,-0.002200744
3934.674,-0.002219337
3934.554,-0.002247818
3934.433,-0.002282098
3934.313,-0.002312321
3934.192,-0.00232679
3934.072,-0.002317232
3933.951,-0.002283449
3933.831,-0.00223483
3933.71,-0.00218759
3933.589,-0.002159995
3933.469,-0.002164611
3933.348,-0.002204601
3933.228,-0.002272902
3933.107,-0.002357043
3932.987,-0.00244219
3932.866,-0.002516844
3932.746,-0.002574753
3932.625,-0.002614113
3932.505,-0.002634236
3932.384,-0.002633972
3932.264,-0.002610358
3932.143,-0.002561677
3932.023,-0.0024896
3931.902,-0.002401991
3931.781,-0.002311563
3931.661,-0.002231896
3931.541,-0.002174205
3931.42,-0.002141961
3931.299,-0.002130783
3931.179,-0.002129695
3931.058,-0.002125574
3930.938,-0.002107933
3930.817,-0.002070902
3930.697,-0.002015004
3930.576,-0.001945409
3930.456,-0.001870986
3930.335,-0.001801137
3930.215,-0.001745303
3930.094,-0.001711971
3929.974,-0.001707251
3929.853,-0.00173296
3929.732,-0.001785628
3929.612,-0.001854655
3929.491,-0.001925254
3929.371,-0.001980504
3929.25,-0.002008638
3929.13,-0.00200534
3929.009,-0.001976283
3928.889,-0.001933633
3928.768,-0.001891902
3928.648,-0.001862441
3928.527,-0.001849013
3928.407,-0.00184799
3928.286,-0.001851026
3928.166,-0.001850201
3928.045,-0.001840204
3927.925,-0.001820374
3927.804,-0.001793251
3927.684,-0.001762067
3927.563,-0.001729066
3927.442,-0.001695105
3927.322,-0.001662066
3927.201,-0.001634405
3927.081,-0.001620541
3926.96,-0.001631995
3926.84,-0.001678933
3926.719,-0.0017654
3926.599,-0.001886921
3926.478,-0.00203024
3926.358,-0.002176777
3926.237,-0.002305961
3926.117,-0.002402848
3925.996,-0.002459323
3925.875,-0.002474511
3925.755,-0.002453919
3925.635,-0.002405846
3925.514,-0.002340302
3925.394,-0.002266969
3925.273,-0.002195074
3925.152,-0.002133355
3925.032,-0.002087324
3924.911,-0.002059657
3924.791,-0.002048544
3924.67,-0.002049269
3924.55,-0.002055304
3924.429,-0.002062592
3924.309,-0.002070078
3924.188,-0.002079971
3924.068,-0.002095832
3923.947,-0.002119177
3923.827,-0.002146214
3923.706,-0.002169556
3923.585,-0.002181062
3923.465,-0.002175392
3923.344,-0.002154918
3923.224,-0.002130355
3923.104,-0.002117726
3922.983,-0.002132201
3922.862,-0.00218192
3922.742,-0.002264332
3922.621,-0.002367061
3922.501,-0.00247204
3922.38,-0.00256059
3922.26,-0.002619876
3922.139,-0.002645696
3922.019,-0.002640723
3921.898,-0.002611774
3921.778,-0.002567803
3921.657,-0.002517305
3921.537,-0.002467724
3921.416,-0.002426704
3921.295,-0.002400904
3921.175,-0.002395763
3921.054,-0.002411613
3920.934,-0.002442915
3920.813,-0.002478695
3920.693,-0.002503338
3920.572,-0.002502679
3920.452,-0.002467922
3920.331,-0.002399915
3920.211,-0.002307707
3920.09,-0.002205524
3919.97,-0.002108626
3919.849,-0.00202869
3919.729,-0.00197216
3919.608,-0.001941912
3919.488,-0.001938581
3919.367,-0.00196144
3919.247,-0.002007946
3919.126,-0.002071562
3919.005,-0.002141532
3918.885,-0.002202623
3918.764,-0.002240961
3918.644,-0.002248576
3918.523,-0.002228336
3918.403,-0.002193458
3918.282,-0.002164578
3918.162,-0.002161875
3918.041,-0.002196821
3917.921,-0.002267529
3917.8,-0.002358889
3917.68,-0.002448318
3917.559,-0.002513286
3917.438,-0.002539278
3917.318,-0.002524091
3917.198,-0.00247685
3917.077,-0.002411712
3916.957,-0.002341389
3916.836,-0.002273858
3916.715,-0.002212513
3916.595,-0.002158182
3916.474,-0.002112055
3916.354,-0.002077498
3916.233,-0.002057184
3916.113,-0.002050555
3915.992,-0.002051677
3915.872,-0.002050226
3915.751,-0.00203433
3915.631,-0.001996897
3915.51,-0.001938449
3915.39,-0.001869139
3915.269,-0.001804074
3915.148,-0.001757579
3915.028,-0.001738538
3914.907,-0.001746161
3914.787,-0.001771835
3914.667,-0.001802457
3914.546,-0.001827006
3914.425,-0.001839445
3914.305,-0.001839808
